WeiboID,正文,日期,点赞数,评论数,转发数,话题,Time
宝玉xp,大型语言模型与生成式AI——人类反馈强化学习4——RLHF - 获取人类的反馈信息#大型语言模型与生成式AI#深入探索生成式AI的世界，了解如何使用基于人类反馈的强化学习（RLHF）来微调大型语言模型（LLMs）。在本视频中，我们将介绍：1. RLHF简介：了解人类反馈在培训AI模型中的重要性。学习如何为特定任务选择合适的LLM，无论是文本摘要、问题回答还是其他内容。2. 创建提示数据集：发现如何使用LLM和一组提示生成多样化的响应。3. 收集人类反馈：掌握从人类标注者那里获得有价值反馈的过程，重点关注有助性和毒性等标准。4. 示例分析：通过一个真实世界的例子，了解人类标注者如何根据其有助性对LLM生成的完成情况进行排名。5. 给标注者的指示：了解清晰和详细指示的重要性，以确保获得高质量的反馈。6. 训练奖励模型：深入了解如何将人类排名转化为适合训练奖励模型的数据。观看本视频后，您将全面了解如何利用人类反馈来微调LLMs，确保它们产生更准确和有帮助的生成结果。课程地址：www.coursera.org/learn/generative-ai-with-llms/lecture/lQBGW/rlhf-obtaining-feedback-from-humans播放列表：油管：www.youtube.com/watch?v=X7r4rL2T2lg&list=PLiuLMb-dLdWL4KBaU3FTM5f_oMcSvXcZwB站：大型语言模型与生成式AI——介绍LLM和生成式AI项目的生命周期 1——课程介绍 宝玉xp的微博视频,2023-08-18,12,1,12,大型语言模型与生成式AI,2023-08-18 06:48:00
宝玉xp,#开源项目推荐#：SwiftGGTeam/swiftgg-trans-pluginTwine by SwiftGG 是一款浏览器插件，旨在帮助 iOS 开发者更轻松地学习和理解 Apple 官方文档。以社区提供的本地化内容为基础，可以识别 Apple 文档中的英文内容进行双语翻译，进而帮助开发者完成学习任务。项目地址：github.com/SwiftGGTeam/swiftgg-trans-plugin,2023-08-18,15,0,9,开源项目推荐,2023-08-18 04:10:10
宝玉xp,知名在线学习网站Kodeco 刚发布的 SwiftUI Cookbook，质量不错👍🏻网页链接 ,2023-08-18,23,1,20,,2023-08-18 03:08:29
宝玉xp,#AI开源项目推荐#： SillyTavern这是一个可以本地部署的虚拟角色聊天软件，支持多种虚拟角色，也可以自己创造角色，后台可以连多种不同LLM，比如OpenAI、Claude、Llama等，支持TTS（文字转语音）另外它支持NSFW，也就是传说中的文爱。项目地址：github.com/SillyTavern/SillyTavern ,2023-08-18,39,6,49,AI开源项目推荐,2023-08-18 00:47:59
宝玉xp,简单解释一下使用LLM的API的时候，Streaming和非Streaming的差别。打个比方，如果LLM是水厂，你需要一瓶水：用Streaming的模式，就相当于你从水厂拉了一根水管，现在你需要一瓶水，拧开水龙头，通过水管就马上给你流水了，你那个瓶子接水，等水慢慢攒够一瓶。不用Streaming的方式，就相当于你和水厂之间有一个快递通道，你告诉水厂需要一瓶水后，水厂在它那边用一个瓶子给你现接一瓶水，接满一瓶之后马上快递给你。通常你要多等一会，但是直接就是一整瓶水给你，你不需要自己去找瓶子接水。回到具体的应用场景，像ChatGPT官方聊天程序这样，就是往外打字蹦字的效果，就是Streaming，LLM那边生成一点，马上就发到网页端，你马上就可以看到新生成的内容了。像有些第三方聊天应用，你发完消息，它显示一个Loading动画，突然就一次性给你生成所有消息，这就不是Streaming。那么什么情况下你选Streaming什么情况下不需要Streaming呢？在一些应用场景下，你希望快速看到结果，并且你不需要等待完整的结果就能用，比如聊天，那么就可以用Streaming，这样用户马上就可以看到输出而不需要等完整的结果。对于一些你必须等待完整结果才能有效的，例如你要LLM返回JSON格式的结果，比如Function Calling，这种情况下，最好就是不用Streaming，直接返回完整的JSON数据最好。因为用Streaming的话，只要你没收到最后一个字符，你还是无法解析这个JSON格式。,2023-08-17,54,8,24,,2023-08-17 12:22:51
宝玉xp,转自 𝕀𝕀𝕀𝕟𝕠𝕜𝕚🎓（twitter.com/IIInoki）：这篇 post 从 LLM 中类 GPT 模型的参数规模、复杂度、以及设备的浮点数算力和带宽角度，分析了 LLaMa.cpp 是如何让 LLaMa 在 Pixel 5、MBP 甚至树莓派 4 上运行成为可能的：网页链接推文：twitter.com/IIInoki/status/1691727794751897761,2023-08-17,33,4,36,,2023-08-17 07:37:37
宝玉xp,吴恩达老师和Cohere合作的新课：《大语言模型与语义搜索》主要内容：(i) 使用嵌入技术按照相关性检索文档；(ii) 借助LLM根据问题相关性对结果排序最后会有一个完整的案例将学习到的内容串起来，构建一个搜索系统检索维基百科文章。课程地址：网页链接 宝玉xp的微博视频 ,2023-08-17,69,1,63,,2023-08-17 05:56:16
宝玉xp,经常看台湾的朋友说XD，一直不知道啥意思，今天才知道原来是表情符号😆 ,2023-08-17,49,18,10,,2023-08-17 05:07:45
宝玉xp,比尔·盖茨和可汗学院创始人萨尔曼·可汗在盖茨新的播客节目《Unconfuse Me | 为我解惑》的完整对话视频。主要话题是围绕人工智能和教育，以及如何利用技术去更好的帮助老师和学生，推动教育的发展。一些独立片段：- 人工智能、教育和工作方面会发生什么？ 网页链接- 有哪些教师真正触动了你，影响了你呢？网页链接-如果你有一个魔法愿望，可以在不学习的情况下精通一门学科，你会选择哪一个？ 网页链接- 人工智能和可汗学院如果应用人工智能 网页链接- 关于可汗学院 网页链接- 老师在教育中的重要性，以及如何利用技术更好的帮助老师们 网页链接 宝玉xp的微博视频,2023-08-17,79,0,79,,2023-08-17 04:00:17
宝玉xp,转自歸藏（twitter.com/op7418）推文：Open AI全资收购了Global Illumination，这个团队参与过Instagram 和 Facebook早期产品的开发，同时他们最近主要的工作内容是Biomes一款基于网络的开源MMORPG游戏类似于我的世界但是是可以通过浏览器运行的。从做过的事情来看他们的产品能力是Open AI非常需要的，但是结合前几天的斯坦福AI小镇来看这种高自由都运行成本低的沙盒游戏结合AI会有无限可能，所以OpenAI可能是看重了他们成员的产品能力，也可能纯粹的看上了这个高自由度的游戏。下面是他们这个游戏的预告片。twitter.com/op7418/status/1691865962499514505OpenAI官方链接：网页链接 宝玉xp的微博视频,2023-08-17,18,1,11,,2023-08-17 03:14:43
